x
40,81
39,96
37,5
37,7
36,5
38,21
39,49
40,92
40,13
41,75
41,17
40,17
39,88
38,45
39,55
41,16
40,59
40,6
40,84
41,81
41,86
44,88
45,18
45,33
44,84
44,81
44,53
42,95
41,64
42,02
42,44
47,07
48,55
51,05
56,66
56,53
56,28
55,64
55,83
55,2
52,48
52,06
53,86
55,23
57,86
58,14
58,95
58,44
58,9
57,41
56,67
56,32
57,11
58,37
58,3
58,96
58,29
58,06
59,15
59,48
58,82
57,21
56,37
55,08
53,55
52,94
52,34
51,13
49,91
53,93
54,77
51,79
50,43
49,59
49,25
49,3
48,52
48,07
48,37
53,1
55,34
59,49
54,95
53,36
52,15
52,71
53,66
53,58
53,94
54,61
58,4
62,1
60,41
61,12
67,47
70,88
70,24
69,71
71,92
74,4
77,46
85,98
88,74
87,99
87,57
89,43
86,84
82,48
83,82
80,56
76,67
78,11
77,52
78,42
78,83
77,93
76,37
77,32
74,74
72,26
73,84
74,02
75,79
79,86
78,44
80,47
81,77
86,65
91,83
98,05
109,25
102,95
100,67
99,4
101,31
100,36
97,88
95,46
96,41
99,55
95,81
96,34
102,08
99,27
97,29
96,63
94,91
95,55
93,99
92,86
92,37
90,61
96,06
96,59
96,7
96,73
96,28
97,31
97,71
98,43
98,11
97,39
100,31
101,43
104,11
107,6
108,16
109,57
113,91
116,4
122,64
124,18
123,88
121,51
121
122,26
128,22
132,01
141,69
144,14
143,49
143,12
144,75
150,19
148,94
147,99
144,91
143,32
144,81
146,75
148,69
148,23
150,38
153,44
155,77
157,48
154,28
156,62
154,71
151,53
150,55
152,54
150,9
149,91
150,47
147,36
144,18
138,72
140,67
132,06
125,3
134,22
144,06
140,26
138,03
143,42
146,14
145,38
144,05
142,81
139,78
138,2
139,97
142,39
144,87
146,9
145,14
146,77
148,99
149,29
150,49
154,46
153,01
150,59
153,39
153,14
